scenario,exporter,baseline_import_value,baseline_tariff,new_tariff,tariff_change,simulated_import_quantity,simulated_import_value,import_change_pct,market_share,market_share_value
reciprocal_tariff,Argentina,480000000.0,0.03,0.03,0.0,1050000.0,494400000.00000006,-0.0,1.083194311844253,0.963433160997328
reciprocal_tariff,Brazil,5000000000.0,0.03,0.03,0.0,10960000.0,5150000000.000001,-0.0,11.306485388393346,10.035762093722166
reciprocal_tariff,Argentina,535000000.0,0.03,0.03,0.0,1170000.0,551050000.0,-0.0,1.2069879474835963,1.0738265440282717
reciprocal_tariff,Brazil,3250000000.0,0.03,0.03,0.0,7120000.0,3347500000.0,-0.0,7.345089047934364,6.5232453609194065
reciprocal_tariff,Argentina,715000000.0,0.03,0.03,0.0,1570000.0,736450000.0,-0.0,1.6196333996147405,1.4351139794022696
full_retaliation,US,4200000000.0,0.23,0.73,0.5,7202346.194734507,5731900049.391121,-21.113404219775393,7.591723183975099,11.070029841200633
full_retaliation,Brazil,1650000000.0,0.03,0.03,0.0,3590000.0,1699500000.0,-0.0,3.7840844488141485,3.282247693261673
full_retaliation,Argentina,450000000.0,0.03,0.03,0.0,100000.0,463500000.0,-0.0,0.1054062520561044,0.8951584617986379
full_retaliation,US,2050000000.0,0.23,0.73,0.5,3542008.150532085,2797713119.3456655,-21.113404219775393,3.733498038997612,5.403228851062212
full_retaliation,Brazil,1110000000.0,0.03,0.03,0.0,2440000.0,1143300000.0,-0.0,2.571912550168948,2.208057539103307
full_retaliation,US,1110000000.0,0.23,0.73,0.5,1924832.9370374805,1514859298.7676532,-21.113404219775393,2.0288942572726443,2.925650743745881
full_retaliation,Brazil,315000000.0,0.03,0.03,0.0,690000.0,324450000.00000006,-0.0,0.7273031391871205,0.6266109232590468
full_retaliation,US,625000000.0,0.84,1.3399999999999999,0.5,1176640.2312459592,1256084918.3921278,-14.113851733871584,1.2402523679406456,2.4258792738648647
full_retaliation,Brazil,2210000000.0,0.03,0.03,0.0,4850000.0,2276300000.0,-0.0,5.112203224721064,4.396222667944422
full_retaliation,US,745000000.0,0.84,1.3399999999999999,0.5,1399944.216737893,1497253222.7234163,-14.113851733871599,1.4756287297396002,2.8916480944469187
full_retaliation,Brazil,5520000000.0,0.03,0.03,0.0,12110000.0,5685600000.000001,-0.0,12.764697123994246,10.980610464729962
full_retaliation,US,720000000.0,0.84,1.3399999999999999,0.5,1357001.142604829,1447009825.9877315,-14.113851733871584,1.430364044778263,2.7946129234923247
full_retaliation,Brazil,4840000000.0,0.03,0.03,0.0,10620000.0,4985200000.0,-0.0,11.194143968358288,9.627926566900905
full_retaliation,US,192000000.0,0.84,1.3399999999999999,0.5,360721.82271773927,385869286.9300617,-14.113851733871599,0.3802233536752344,0.7452301129312866
full_retaliation,Brazil,4740000000.0,0.03,0.03,0.0,10390000.0,4882200000.0,-0.0,10.95170958862925,9.429002464278986
full_retaliation,Argentina,256000000.0,0.03,0.03,0.0,560000.0,263680000.00000003,-0.0,0.5902750115141847,0.5092457027121141
full_retaliation,US,105000000.0,0.84,1.3399999999999999,0.5,197538.14101209532,211022266.2898775,-14.113851733871599,0.20821755082215215,0.40754771800929734
full_retaliation,Brazil,4790000000.0,0.03,0.03,0.0,10490000.0,4933700000.0,-0.0,11.057115840685352,9.528464515589945
full_retaliation,Argentina,480000000.0,0.03,0.03,0.0,1050000.0,494400000.00000006,-0.0,1.1067656465890963,0.9548356925852141
full_retaliation,Brazil,5000000000.0,0.03,0.03,0.0,10960000.0,5150000000.000001,-0.0,11.552525225349045,9.94620513109598
full_retaliation,Argentina,535000000.0,0.03,0.03,0.0,1170000.0,551050000.0,-0.0,1.2332531490564216,1.0642439490272695
full_retaliation,Brazil,3250000000.0,0.03,0.03,0.0,7120000.0,3347500000.0,-0.0,7.504925146394633,6.465033335212386
full_retaliation,Argentina,715000000.0,0.03,0.03,0.0,1570000.0,736450000.0,-0.0,1.6548781572808393,1.4223073337467247
