date,exporter,import_quantity_actual,import_quantity_pred,unit_price_actual,unit_price_pred
2022-11-01,Argentina,1105440.0,144720.0,662.5439227812793,712.3444582593121
2022-12-01,Argentina,1459110.0,1105440.0,640.6991940287979,662.5439227812793
2023-01-01,Argentina,1296590.006,1459110.0,645.4040237291129,640.6991940287979
2023-02-01,Argentina,59800.0,1296590.006,682.3779096875857,645.4040237291129
2023-03-01,Argentina,72600.0,59800.0,618.6928787793569,682.3779096875857
2023-07-01,Argentina,118092.0,72600.0,585.0409257139769,618.6928787793569
2023-08-01,Argentina,360.78,118092.0,586.7093503334183,585.0409257139769
2023-10-01,Argentina,1077.482,360.78,619.105469400783,586.7093503334183
2023-11-01,Argentina,54214.113,1077.482,581.8605203301609,619.105469400783
2023-12-01,Argentina,389433.0,54214.113,566.6707110066002,581.8605203301609
2024-01-01,Argentina,159525.0,389433.0,563.8408650646367,566.6707110066002
2024-02-01,Argentina,52967.0,159525.0,583.8529650426897,563.8408650646367
2024-06-01,Argentina,0.029,52967.0,37722.83714354677,583.8529650426897
2024-07-01,Argentina,116150.0,0.029,507.403874296105,37722.83714354677
2024-08-01,Argentina,1291110.028,116150.0,510.1721803058367,507.403874296105
2024-09-01,Argentina,612746.069,1291110.028,505.7776878198042,510.1721803058367
2024-10-01,Argentina,1362890.0,612746.069,505.68310355163976,505.7776878198042
2024-11-01,Argentina,242227.0,1362890.0,494.0506095501573,505.68310355163976
2024-12-01,Argentina,264306.0,242227.0,473.72372552846423,494.0506095501573
2025-01-01,Argentina,100000.0,264306.0,4499.999999955,473.72372552846423
2025-07-01,Argentina,560000.0,100000.0,457.1428571420408,4499.999999955
2025-08-01,Argentina,1050000.0,560000.0,457.14285714242175,457.1428571420408
2025-09-01,Argentina,1170000.0,1050000.0,457.2649572645664,457.14285714242175
2025-10-01,Argentina,1570000.0,1170000.0,455.41401273856343,457.2649572645664
2010-03-01,Brazil,468953.856,10435.458,441.21127345961895,512.2099096645102
2010-04-01,Brazil,1896304.128,468953.856,435.2224750309486,441.21127345961895
2010-05-01,Brazil,3231235.072,1896304.128,430.3080206228864,435.2224750309486
2010-06-01,Brazil,3985316.352,3231235.072,427.09316542597344,430.3080206228864
2010-07-01,Brazil,2481839.104,3985316.352,423.98104466306944,427.09316542597344
2010-08-01,Brazil,2472083.456,2481839.104,439.8362835852255,423.98104466306944
2010-09-01,Brazil,2237194.752,2472083.456,449.71966034700876,439.8362835852255
2010-10-01,Brazil,1050150.272,2237194.752,463.0257259025277,449.71966034700876
2010-11-01,Brazil,697722.176,1050150.272,500.72556099965396,463.0257259025277
2010-12-01,Brazil,58072.376,697722.176,550.6774511766029,500.72556099965396
2011-01-01,Brazil,53973.184,58072.376,476.80474065645626,550.6774511766029
2011-03-01,Brazil,69685.0,53973.184,600.1155485312462,476.80474065645626
2011-04-01,Brazil,1048226.857,69685.0,581.1612418927164,600.1155485312462
2011-05-01,Brazil,2996433.152,1048226.857,580.3386759483496,581.1612418927164
2011-06-01,Brazil,3213012.224,2996433.152,576.2837259592773,580.3386759483496
2011-07-01,Brazil,3440433.92,3213012.224,575.5027365848738,576.2837259592773
2011-08-01,Brazil,3066192.128,3440433.92,570.1588912302595,575.5027365848738
2011-09-01,Brazil,2566836.224,3066192.128,574.5133196310329,570.1588912302595
2011-10-01,Brazil,1995047.04,2566836.224,573.3383890534363,574.5133196310329
2011-11-01,Brazil,1336791.205,1995047.04,555.4257510240311,573.3383890534363
2011-12-01,Brazil,834491.968,1336791.205,527.289226107294,555.4257510240311
2012-01-01,Brazil,986933.248,834491.968,523.3722149357325,527.289226107294
2012-02-01,Brazil,618548.928,986933.248,506.5675774633198,523.3722149357325
2012-03-01,Brazil,901364.608,618548.928,538.6462211743079,506.5675774633198
2012-04-01,Brazil,2598617.088,901364.608,559.6046753924219,538.6462211743079
2012-05-01,Brazil,3891018.752,2598617.088,587.894357184381,559.6046753924219
2012-06-01,Brazil,4284803.328,3891018.752,587.2088643036577,587.894357184381
2012-07-01,Brazil,3802467.584,4284803.328,592.0792891102285,587.2088643036577
2012-08-01,Brazil,2805704.704,3802467.584,618.4964959161225,592.0792891102285
2012-09-01,Brazil,2397491.456,2805704.704,648.0047251519183,618.4964959161225
2016-01-01,Brazil,532115.113,2397491.456,458.6274943849252,648.0047251519183
2016-02-01,Brazil,225021.415,532115.113,458.62749551877704,458.6274943849252
2016-03-01,Brazil,1031991.905,225021.415,458.6274947568909,458.62749551877704
2016-04-01,Brazil,3933259.379,1031991.905,458.62749470088824,458.6274947568909
2016-05-01,Brazil,5916049.136,3933259.379,458.62749473951317,458.62749470088824
2016-06-01,Brazil,6020283.134,5916049.136,458.62749467815,458.62749473951317
2016-07-01,Brazil,5549441.766,6020283.134,458.6274946775505,458.62749467815
2016-08-01,Brazil,4756294.939,5549441.766,458.62749471507095,458.6274946775505
2016-09-01,Brazil,3551814.298,4756294.939,458.6274946628816,458.62749471507095
2016-10-01,Brazil,1385005.762,3551814.298,458.62749486492123,458.6274946628816
2016-11-01,Brazil,701723.732,1385005.762,458.6274944446961,458.62749486492123
2016-12-01,Brazil,306426.206,701723.732,458.62749414957466,458.6274944446961
2017-01-01,Brazil,239308.672,306426.206,465.6087139187935,458.62749414957466
2017-02-01,Brazil,673046.591,239308.672,438.1174423028344,465.6087139187935
2017-03-01,Brazil,1717919.606,673046.591,438.11744238255227,438.1174423028344
2017-04-01,Brazil,5929935.112,1717919.606,438.11744225365175,438.11744238255227
2017-05-01,Brazil,7500777.64,5929935.112,438.11744231356283,438.11744225365175
2017-06-01,Brazil,5897441.927,7500777.64,438.1174422710957,438.11744231356283
2017-07-01,Brazil,6962879.09,5897441.927,438.1174423064069,438.1174422710957
2017-08-01,Brazil,5614754.791,6962879.09,438.1174422688269,438.1174423064069
2017-09-01,Brazil,5495922.037,5614754.791,438.1174423125395,438.1174422688269
2017-10-01,Brazil,2989605.018,5495922.037,465.60871306362463,438.1174423125395
2017-11-01,Brazil,2641751.49,2989605.018,438.1174423032357,465.60871306362463
2017-12-01,Brazil,1764072.17,2641751.49,465.60871316253144,438.1174423032357
2018-01-01,Brazil,2073710.0,1764072.17,418.37563497286584,465.60871316253144
2018-02-01,Brazil,1746070.0,2073710.0,418.23620817010874,418.37563497286584
2018-03-01,Brazil,2332590.0,1746070.0,429.1717258496225,418.23620817010874
2018-04-01,Brazil,4400990.0,2332590.0,431.56196560309576,429.1717258496225
2018-05-01,Brazil,9123510.0,4400990.0,435.5235790830025,431.56196560309576
2018-06-01,Brazil,7838560.0,9123510.0,447.2701257628382,435.5235790830025
2018-07-01,Brazil,7044110.0,7838560.0,446.56438953956615,447.2701257628382
2018-08-01,Brazil,7945790.0,7044110.0,432.12810230317785,446.56438953956615
2018-09-01,Brazil,7590280.0,7945790.0,427.41094333800237,432.12810230317785
2018-10-01,Brazil,6530680.0,7590280.0,436.88499895869387,427.41094333800237
2018-11-01,Brazil,5068520.0,6530680.0,436.8803704038976,436.88499895869387
2018-12-01,Brazil,4386840.0,5068520.0,449.9748372403712,436.8803704038976
2019-01-01,Brazil,4932690.0,4386840.0,451.0163991654754,449.9748372403712
2019-02-01,Brazil,1986310.0,4932690.0,444.5722102791384,451.0163991654754
2019-03-01,Brazil,2791500.0,1986310.0,407.8524975817991,444.5722102791384
2019-04-01,Brazil,5786130.0,2791500.0,400.3632991307834,407.8524975817991
2019-05-01,Brazil,6353170.0,5786130.0,388.8641955117856,400.3632991307834
2019-06-01,Brazil,5447230.0,6353170.0,372.67458524784655,388.8641955117856
2019-07-01,Brazil,6421600.0,5447230.0,372.4873589136084,372.67458524784655
2019-08-01,Brazil,6684300.0,6421600.0,384.4577946830058,372.4873589136084
2019-09-01,Brazil,4787700.0,6684300.0,391.17794577764033,384.4577946830058
2019-10-01,Brazil,3792970.0,4787700.0,394.4181522657985,391.17794577764033
2019-11-01,Brazil,3859190.0,3792970.0,412.02882729266713,394.4181522657985
2019-12-01,Brazil,4832360.0,3859190.0,417.13246177842353,412.02882729266713
2020-01-01,Brazil,2933870.0,4832360.0,409.5725867197901,417.13246177842353
2020-02-01,Brazil,2205210.0,2933870.0,410.64920846522074,409.5725867197901
2020-03-01,Brazil,2098810.0,2205210.0,403.1349545693021,410.64920846522074
2020-04-01,Brazil,5939570.0,2098810.0,390.27457526380016,403.1349545693021
2020-05-01,Brazil,8862170.0,5939570.0,383.2970873950304,390.27457526380016
2020-06-01,Brazil,10510700.0,8862170.0,376.23564129883107,383.2970873950304
2020-07-01,Brazil,8179430.0,10510700.0,374.2627664763468,376.23564129883107
2020-08-01,Brazil,8149490.0,8179430.0,376.19879305326145,374.2627664763468
2020-09-01,Brazil,7244760.0,8149490.0,380.91059579608145,376.19879305326145
2020-10-01,Brazil,4233590.0,7244760.0,401.3425310432986,380.91059579608145
2020-11-01,Brazil,2742700.0,4233590.0,429.8466182956832,401.3425310432986
2020-12-01,Brazil,1177140.0,2742700.0,440.3112960221891,429.8466182956832
2021-01-01,Brazil,998241.0,1177140.0,459.6967125168575,440.3112960221891
2021-02-01,Brazil,33450.0,998241.0,531.8798505072682,459.6967125168575
2021-03-01,Brazil,315361.0,33450.0,554.984684217278,531.8798505072682
2021-04-01,Brazil,5075720.0,315361.0,552.0733588534134,554.984684217278
2021-05-01,Brazil,9234890.0,5075720.0,528.9122135726003,552.0733588534134
2021-06-01,Brazil,10415900.0,9234890.0,561.13454027011,528.9122135726003
2021-07-01,Brazil,7874100.0,10415900.0,579.5046534841341,561.13454027011
2021-08-01,Brazil,9013530.0,7874100.0,584.4340802104631,579.5046534841341
2021-09-01,Brazil,5935810.01,9013530.0,594.8215113103671,584.4340802104631
2021-10-01,Brazil,3297010.0,5935810.01,603.2654708355136,594.8215113103671
