year,segment,import_proxy,us_chip_output_billions,total_supply,self_sufficiency_pct,china_import_proxy,china_dependence_pct,supply_risk_index
2020,general,6502512784.0,0.0,6502512784.0,0.0,3284896655.0,50.517342512309625,0.7525867125615481
2021,general,9513171880.0,0.0,9513171880.0,0.0,4540343426.0,47.72691467443559,0.738634573372178
2022,general,11491501305.0,0.0,11491501305.0,0.0,4795969688.0,41.73492706225647,0.7086746353112824
2023,general,8033631674.0,0.0,8033631674.0,0.0,2911449675.0,36.240766233067404,0.681203831165337
2024,general,8299552367.0,0.0,8299552367.0,0.0,3085041903.0,37.171184258882334,0.6858559212944116
2025,general,0.0,0.0,0.0,,0.0,,0.5
