episode,us_return,jp_return,us_fiscal_revenue,us_employment_gain,us_consumer_surplus,us_domestic_firm_profit,jp_sales_retention,jp_relocation_cost,jp_firm_profit
1,64.04247360152681,532.8007444739342,0.016020777991704982,0.0777443566360517,-0.008010388995852491,0.062195485308841364,0.8735496181994677,0.20754868760704992,0.6660009305924178
2,62.6581263645042,553.8563734292984,0.014607021901411239,0.07601250870259693,-0.007303510950705619,0.06081000696207755,0.8837605133652687,0.19144004657864572,0.692320466786623
3,55.12279426801376,643.9563147723675,0.02621171706580152,0.06751353720029546,-0.01310585853290076,0.05401082976023636,0.9161456910893321,0.11120029762387275,0.8049453934654592
4,54.5458492976111,637.3424386978149,0.03968525833597768,0.0674678601334738,-0.01984262916798884,0.05397428810677905,0.9068596698343755,0.11018162146210672,0.7966780483722687
5,60.33082955073065,565.135096758604,0.028800378309782992,0.0738976498595216,-0.014400189154891496,0.05911811988761729,0.8783499898388981,0.17193111889064314,0.7064188709482552
6,58.44002819962991,586.7506650090218,0.03504418332505234,0.07192523501518269,-0.01752209166252617,0.05754018801214615,0.8854439798742532,0.15200564861297608,0.7334383312612772
7,64.10711460571326,507.81452775001526,0.027018651756270134,0.07835079408168757,-0.013509325878135067,0.06268063526535006,0.8481990981847047,0.2134309384971857,0.6347681596875191
8,54.27690409786309,644.8525676131248,0.037002781689297506,0.0670156434680709,-0.01850139084464875,0.05361251477445673,0.912860145792365,0.10679443627595901,0.8060657095164061
9,64.23015994321572,513.3399817347527,0.02452962684979721,0.07837902045337453,-0.012264813424898605,0.06270321636269963,0.855338465422392,0.21366348825395107,0.6416749771684408
10,57.207784280740164,622.65246078372,0.023223792660021402,0.0698758845999291,-0.011611896330010701,0.05590070767994329,0.9120514506474138,0.13373587466776368,0.7783155759796502
11,53.4793459512929,660.6221087276936,0.03300453766751529,0.06586481665624219,-0.016502268833757643,0.05269185332499376,0.9209412025287748,0.09516356661915779,0.8257776359096168
12,57.93988849054761,601.2553441524506,0.03077640989725613,0.07111892414235318,-0.015388204948628066,0.05689513931388254,0.8961399812251329,0.14457080103456973,0.7515691801905632
13,56.73309179642057,607.7642749249935,0.034581618247688614,0.06985139005568283,-0.017290809123844307,0.055881112044546266,0.8932125007733703,0.13350715711712835,0.7597053436562419
14,60.43360050009077,584.6914903819561,0.015668321993369146,0.07338982377382877,-0.007834160996684573,0.05871185901906302,0.896435579843819,0.16557121686637402,0.7308643629774451
15,57.02064688199451,615.4699505865574,0.028949836576784523,0.06992625041474265,-0.014474918288392261,0.05594100033179413,0.9025260025635362,0.13318856433033943,0.7693374382331969
