period,partner_desc,net_weight_tons,primary_value_usd,quantity_tons,value_usd,tariff_rate,data_quality_score
201204,USA,2278635.776,1242946944.0,2278635.776,1242946944.0,0.03,100
201205,Brazil,3891018.752,2287507968.0,3891018.752,2287507968.0,0.03,100
201205,USA,1322722.432,748186112.0,1322722.432,748186112.0,0.03,100
201205,Argentina,62181.0,34554660.0,62181.0,34554660.0,0.03,100
201206,Brazil,4284803.328,2516074496.0,4284803.328,2516074496.0,0.03,100
201206,USA,698343.424,413079456.0,698343.424,413079456.0,0.03,100
201206,Argentina,584532.544,345763872.0,584532.544,345763872.0,0.03,100
201207,Brazil,3802467.584,2251362304.0,3802467.584,2251362304.0,0.03,100
201207,Argentina,1107768.192,652273024.0,1107768.192,652273024.0,0.03,100
201207,USA,649656.64,388286816.0,649656.64,388286816.0,0.03,100
201208,Brazil,2805704.704,1735318528.0,2805704.704,1735318528.0,0.03,100
201208,Argentina,758726.016,481606176.0,758726.016,481606176.0,0.03,100
201208,USA,395169.472,243526752.0,395169.472,243526752.0,0.03,100
201209,Brazil,2397491.456,1553585792.0,2397491.456,1553585792.0,0.03,100
201209,Argentina,1087251.712,691722368.0,1087251.712,691722368.0,0.03,100
201209,USA,1064190.592,722936448.0,1064190.592,722936448.0,0.03,100
201601,USA,3899820.043,1788564696.0,3899820.043,1788564696.0,0.03,100
201601,Brazil,532115.113,244042621.0,532115.113,244042621.0,0.03,100
201601,Argentina,154892.6,71038005.0,154892.6,71038005.0,0.03,100
201602,USA,3211453.306,1472860784.0,3211453.306,1472860784.0,0.03,100
201602,Brazil,225021.415,103201008.0,225021.415,103201008.0,0.03,100
201602,Argentina,28664.803,13146467.0,28664.803,13146467.0,0.03,100
201603,USA,3747470.518,1718693015.0,3747470.518,1718693015.0,0.03,100
201603,Brazil,1031991.905,473299862.0,1031991.905,473299862.0,0.03,100
201603,Argentina,24317.77,11152798.0,24317.77,11152798.0,0.03,100
201604,Brazil,3933259.379,1803900895.0,3933259.379,1803900895.0,0.03,100
201604,USA,1699134.993,779270025.0,1699134.993,779270025.0,0.03,100
201604,Argentina,59820.796,27435636.0,59820.796,27435636.0,0.03,100
201605,Brazil,5916049.136,2713262794.0,5916049.136,2713262794.0,0.03,100
201605,USA,468841.47,215023589.0,468841.47,215023589.0,0.03,100
201605,Argentina,52629.804,24137475.0,52629.804,24137475.0,0.03,100
201606,Brazil,6020283.134,2761067371.0,6020283.134,2761067371.0,0.03,100
201606,Argentina,405333.686,185897173.0,405333.686,185897173.0,0.03,100
201606,USA,119948.493,55011677.0,119948.493,55011677.0,0.03,100
201607,Brazil,5549441.766,2545126574.0,5549441.766,2545126574.0,0.03,100
201607,Argentina,1366480.665,626705604.0,1366480.665,626705604.0,0.03,100
201607,USA,4253.138,1950606.0,4253.138,1950606.0,0.03,100
201608,Brazil,4756294.939,2181367632.0,4756294.939,2181367632.0,0.03,100
201608,Argentina,1664937.658,763586187.0,1664937.658,763586187.0,0.03,100
201608,USA,340185.05,156018217.0,340185.05,156018217.0,0.03,100
201609,Brazil,3551814.298,1628959693.0,3551814.298,1628959693.0,0.03,100
201609,USA,1295060.422,593950317.0,1295060.422,593950317.0,0.03,100
201609,Argentina,1270117.515,582510814.0,1270117.515,582510814.0,0.03,100
201610,USA,2248398.129,1031177201.0,2248398.129,1031177201.0,0.03,100
201610,Brazil,1385005.762,635201723.0,1385005.762,635201723.0,0.03,100
201610,Argentina,1027145.804,471077307.0,1027145.804,471077307.0,0.03,100
201611,USA,5257626.376,2411292013.0,5257626.376,2411292013.0,0.03,100
201611,Argentina,989960.982,454023325.0,989960.982,454023325.0,0.03,100
201611,Brazil,701723.732,321829797.0,701723.732,321829797.0,0.03,100
201612,USA,7718566.695,3539946906.0,7718566.695,3539946906.0,0.03,100
201612,Brazil,306426.206,140535483.0,306426.206,140535483.0,0.03,100
201701,USA,6317824.498,2941634134.0,6317824.498,2941634134.0,0.03,100
201701,Brazil,239308.672,111424203.0,239308.672,111424203.0,0.03,100
201701,Argentina,60993.811,28399250.0,60993.811,28399250.0,0.03,100
201702,USA,4375487.719,1916977488.0,4375487.719,1916977488.0,0.03,100
201702,Brazil,673046.591,294873451.0,673046.591,294873451.0,0.03,100
201703,USA,4167369.063,1825797075.0,4167369.063,1825797075.0,0.03,100
201703,Brazil,1717919.606,752650544.0,1717919.606,752650544.0,0.03,100
201703,Argentina,9684.6,4242992.0,9684.6,4242992.0,0.03,100
201704,Brazil,5929935.112,2598008004.0,5929935.112,2598008004.0,0.03,100
201704,USA,1737916.674,761411608.0,1737916.674,761411608.0,0.03,100
201704,Argentina,54233.76,23760756.0,54233.76,23760756.0,0.03,100
201705,Brazil,7500777.64,3286221515.0,7500777.64,3286221515.0,0.03,100
201705,USA,1395902.573,611569265.0,1395902.573,611569265.0,0.03,100
201705,Argentina,60726.425,26605306.0,60726.425,26605306.0,0.03,100
201706,Brazil,5897441.927,2583772173.0,5897441.927,2583772173.0,0.03,100
201706,Argentina,662607.516,290299910.0,662607.516,290299910.0,0.03,100
201706,USA,356169.225,156043950.0,356169.225,156043950.0,0.03,100
201707,Brazil,6962879.09,3050558778.0,6962879.09,3050558778.0,0.03,100
201707,Argentina,1358708.923,595274379.0,1358708.923,595274379.0,0.03,100
